id,speech_id,person_id,surname
1953,2925454,24982,johnson
1954,2925455,33079,mader
1955,2925456,24982,johnson
1956,2925457,31299,davis
1957,2925458,24982,johnson
1958,2925459,9494,johnson
1959,2925460,9494,johnson
1960,2925461,9494,johnson
1961,2925462,21398,fisher
1962,2925463,29190,wagner
1963,2925464,34594,spero
1964,2925465,34595,rodriguez
1965,2925466,34596,hartunian
1966,2925467,9494,johnson
1967,2925468,21398,fisher
1968,2925469,9494,johnson
1969,2925470,34594,spero
1970,2925471,9494,johnson
1971,2925472,29190,wagner
1972,2925473,9494,johnson
1973,2925474,29190,wagner
1974,2925475,9494,johnson
1975,2925476,29190,wagner
1976,2925477,9494,johnson
1977,2925478,34595,rodriguez
1978,2925479,9494,johnson
1979,2925480,34596,hartunian
1980,2925481,9494,johnson
1981,2925482,21398,fisher
1982,2925483,9494,johnson
1983,2925484,21398,fisher
1984,2925485,9494,johnson
1985,2925486,21398,fisher
1986,2925487,9494,johnson
1987,2925488,21398,fisher
1988,2925489,9494,johnson
1989,2925490,34594,spero
1990,2925491,9494,johnson
1991,2925492,21398,fisher
1992,2925493,9494,johnson
1993,2925494,21398,fisher
1994,2925495,9494,johnson
1995,2925496,21398,fisher
1996,2925497,21398,fisher
1997,2925498,21398,fisher
1998,2925499,21398,fisher
1999,2925500,21398,fisher
2000,2925501,34596,hartunian
2001,2925502,34596,hartunian
2002,2925503,9494,johnson
2003,2925504,9494,johnson
