id,speech_id,person_id,surname
1189,2924690,24982,johnson
1190,2924691,31606,gibson
1191,2924692,24982,johnson
1192,2924693,34564,missal
1193,2924694,24982,johnson
1194,2924695,31606,gibson
1195,2924696,24982,johnson
1196,2924697,31606,gibson
1197,2924698,24982,johnson
1198,2924699,31606,gibson
1199,2924700,24982,johnson
1200,2924701,31606,gibson
1201,2924702,24982,johnson
1202,2924703,31606,gibson
1203,2924704,24982,johnson
1204,2924705,31606,gibson
1205,2924706,24982,johnson
1206,2924707,24982,johnson
1207,2924708,24982,johnson
1208,2924709,24982,johnson
1209,2924710,24982,johnson
1210,2924711,24982,johnson
1211,2924712,24982,johnson
1212,2924713,24982,johnson
1213,2924714,2367,baldwin
1214,2924715,2367,baldwin
1215,2924716,2367,baldwin
1216,2924717,34564,missal
1217,2924718,2367,baldwin
1218,2924719,34564,missal
1219,2924720,24982,johnson
1220,2924721,24982,johnson
1221,2924722,34564,missal
1222,2924723,31606,gibson
1223,2924724,31606,gibson
1224,2924725,24982,johnson
1225,2924726,31606,gibson
1226,2924727,31606,gibson
1227,2924728,31606,gibson
1228,2924729,31606,gibson
1229,2924730,31606,gibson
1230,2924731,31606,gibson
1231,2924732,24982,johnson
1232,2924733,2367,baldwin
1233,2924734,24982,johnson
1234,2924735,31606,gibson
1235,2924736,24982,johnson
1236,2924737,31606,gibson
1237,2924738,24982,johnson
1238,2924739,31606,gibson
1239,2924740,24982,johnson
1240,2924741,24982,johnson
1241,2924742,24982,johnson
1242,2924743,24982,johnson
1243,2924744,2367,baldwin
1244,2924745,31606,gibson
1245,2924746,2367,baldwin
1246,2924747,24982,johnson
1247,2924748,34564,missal
1248,2924749,24982,johnson
1249,2924750,2367,baldwin
1250,2924751,31606,gibson
1251,2924752,2367,baldwin
1252,2924753,31606,gibson
1253,2924754,34564,missal
1254,2924755,2367,baldwin
1255,2924756,34564,missal
1256,2924757,31606,gibson
1257,2924758,24982,johnson
1258,2924759,31606,gibson
1259,2924760,24982,johnson
1260,2924761,31606,gibson
1261,2924762,31606,gibson
1262,2924763,31606,gibson
1263,2924764,31606,gibson
1264,2924765,31606,gibson
1265,2924766,31606,gibson
1266,2924767,31606,gibson
