committee_id,subcommitee_id,type,committee_name,subcommittee_name,chamber,congress_session,committee_session
258,258,S,Committee on Veterans' Affairs Veterans' Affairs,Subcommittee on Health,JOINT,112,2
259,259,S,"Committee on Agriculture, Nutrition, and Forestry Agriculture",Subcommittee on Health,SENATE,112,1
260,260,S,Committee on Appropriations Appropriations,Subcommittee on Health,SENATE,112,2
261,261,S,Committee on Indian Affairs Indian Affairs,Subcommittee on Health,SENATE,112,1
262,262,S,Committee on Armed Services Armed Services,Subcommittee on Health,SENATE,112,1
263,263,S,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Security and International Trade and Finance,SENATE,112,1
264,264,S,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation and Merchant Marine Infrastructure, Safety, and Security",SENATE,112,1
265,265,S,Committee on Energy and Natural Resources Energy and Natural Resources,"Subcommittee on Surface Transportation and Merchant Marine Infrastructure, Safety, and Security",SENATE,112,2
266,266,S,Committee on Environment and Public Works Environment and Public Works,Subcommittee on National Parks,SENATE,112,1
267,267,S,Committee on Finance Finance,"Subcommittee on Superfund, Toxics and Environmental Health",SENATE,112,2
268,268,S,Committee on Foreign Relations,Subcommittee on African Affairs,SENATE,112,1
269,269,S,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Children and Families,SENATE,112,2
270,270,S,"Committee on Health, Education, Labor, and Pensions Health",Subcommittee on Children and Families,SENATE,112,2
271,271,S,Committee on Homeland Security and Governmental Affairs Homeland and Governmental Affairs  Subcommittee Ad Hoc   Subcommittee on Disaster Recovery,Subcommittee on Primary Health and Aging,SENATE,112,1
272,272,S,Committee on Judiciary Judiciary,"Subcommittee Federal Financial Management, Government Information, Federal Services, and International Security",SENATE,112,1
273,273,S,Committee on Rules and Administration Rules and Administration,Subcommittee on Crime and Terrorism,SENATE,112,1
274,274,S,Committee on Small Business and Entrepreneurship Small Business,Subcommittee on Crime and Terrorism,SENATE,112,1
275,275,S,Committee on the Budget Budget,Subcommittee on Crime and Terrorism,SENATE,112,1
276,276,J,Joint Economic Committee Joint Economic,Subcommittee on Crime and Terrorism,SENATE,112,1
277,277,S,Joint Select Committee on Deficit Reduction Deficit Reduction,Subcommittee on Crime and Terrorism,SENATE,112,1
278,278,S,Joint Select Committee on Deficit Reduction Deficit Reduction,Subcommittee on Crime and Terrorism,SENATE,112,1
279,279,L,Select Committee on Intelligence Intelligence,Subcommittee on Crime and Terrorism,SENATE,112,1
280,280,S,Special Committee on Aging Aging,Subcommittee on Crime and Terrorism,SENATE,112,2
281,281,S,Committee on Agriculture Agriculture,Subcommittee on Crime and Terrorism,HOUSE,113,2
282,282,S,Committee on Armed Services Armed Services,"Subcommittee on Agriculture, Rural Development, Food and Drug",HOUSE,113,1
283,283,S,Committee on Armed Services Armed Services,Subcommittee on Tactical Air and Land Forces,HOUSE,113,1
284,284,S,Committee on Education and the Workforce Education and the Workforce,Subcommittee on Tactical Air and Land Forces,HOUSE,113,2
285,285,S,Committee on Energy and Commerce,Subcommittee on Health,HOUSE,113,1
286,286,S,Committee on Ethics Standards,Subcommittee on Environment and the Economy,HOUSE,113,1
287,287,S,Committee on Financial Services Financial Services,Subcommittee on Environment and the Economy,HOUSE,113,2
288,288,S,"Committee on Foreign Affairs Foreign Affairs  Subcommittee on Europe, Eurasia, and Emerging Threats   Subcommittee on Terrorism, Nonproliferation, and Trade",Subcommittee on Capital Markets and Government Sponsored Enterprises,HOUSE,113,1
289,289,S,Committee on Homeland Security,"Subcommittee on Cybersecurity, Infrastructure Protection, and Security Technologies",HOUSE,113,2
290,290,S,Committee on House Administration House Administration,Subcommittee on Counterterrorism and Intelligence,HOUSE,113,1
291,291,S,Committee on Natural Resources,Subcommittee on Energy and Mineral Resources,HOUSE,113,2
292,292,S,Committee on Oversight and Government Reform Oversight and Government Reform,Subcommittee on Energy and Mineral Resources,HOUSE,113,1
293,293,S,"Committee on Science, Space, and Technology Science, Space, and Technology","Subcommittee on Federal Workforce, Us Postal Service and the Census",HOUSE,113,1
294,294,S,Committee on Small Business,"Subcommittee on Economic Growth, Tax and Capital Access",HOUSE,113,2
295,295,S,Committee on Small Business  Small Business,Subcommittee on Contracting and Workforce,HOUSE,113,1
296,296,S,Committee on the Budget The Budget,Subcommittee on Health and Technology,HOUSE,113,1
297,297,S,Committee on the Judiciary Judiciary,Subcommittee on Health and Technology,HOUSE,113,2
298,298,S,Committee on Transportation and Infrastructure,"Subcommittee on Railroads, Pipelines, and Hazardous Materials",HOUSE,113,1
299,299,S,Committee on Veterans' Affairs,Subcommittee on Economic Opportunity (eo),HOUSE,113,1
300,300,S,Committee on Veterans' Affairs,Subcommittee on Disability Assistance and Memorial Affairs,HOUSE,114,1
301,301,S,Committee on Ways and Means Ways and Means,Subcommittee on Disability Assistance and Memorial Affairs,HOUSE,113,1
302,302,L,Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi Benghazi,Subcommittee on Select Revenue Measures,HOUSE,113,2
303,303,S,"Committee on Agriculture, Nutrition, and Forestry Agriculture",Subcommittee on Select Revenue Measures,SENATE,113,1
304,304,S,Committee on Appropriations Appropriations,"Subcommittee on Conservation, Forestry and Natural Resources",SENATE,113,2
305,305,S,Committee on Indian Affairs Indian Affairs,"Subcommittee on Conservation, Forestry and Natural Resources",SENATE,113,1
306,306,S,Committee on Armed Services Armed Services,"Subcommittee on Conservation, Forestry and Natural Resources",SENATE,113,1
307,307,S,"Committee on Banking, Housing, and Urban Affairs Banking",Subcommittee on Personnel,SENATE,113,2
308,308,S,Committee on Budget Senate-Budget,Subcommittee on National Security and International Trade and Finance,SENATE,113,1
309,309,S,"Committee on Commerce, Science, and Transportation","Subcommittee on Oceans, Atmosphere, Fisheries, and Coast Guard",SENATE,113,2
310,310,S,Committee on Energy and Natural Resources Energy and Natural Resources,Subcommittee on Science and Space,SENATE,113,2
311,311,S,Committee on Environment and Public Works Environment and Public Works,"Subcommittee on Public Lands, Forests, and Mining",SENATE,113,2
312,312,S,Committee on Finance Finance,Subcommittee on Water and Wildlife,SENATE,113,2
313,313,S,Committee on Foreign Relations Foreign Relations,"Subcommittee on Social Security, Pensions, and Family Policy",SENATE,113,2
314,314,S,"Committee on Health, Education, Labor, and Pensions HELP","Subcommittee on International Development and Foreign Assistance, Economic Affairs, International Environmental Protection, and Peace Corps",SENATE,113,1
315,315,S,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Emergency Management, Intergovernmental Relations, and the District of Columbia",SENATE,113,2
316,316,L,Committee on Intelligence Intelligence,"Subcommittee on Emergency Management, Intergovernmental Relations, and the District of Columbia",SENATE,113,1
317,317,S,Committee on Judiciary Judiciary,"Subcommittee on Emergency Management, Intergovernmental Relations, and the District of Columbia",SENATE,113,1
318,318,S,Committee on Permanent Select Committee on Intelligence house-permintel,Subcommittee on Bankruptcy and the Courts,SENATE,113,2
319,319,S,Committee on Rules and Administration Rules and Administration,Subcommittee on Bankruptcy and the Courts,SENATE,113,1
320,320,S,Committee on Small Business and Entrepreneurship Small Business,Subcommittee on Bankruptcy and the Courts,SENATE,113,1
321,321,S,Committee on Veterans' Affairs Veterans' Affairs,Subcommittee on Bankruptcy and the Courts,SENATE,113,1
322,322,S,Joint Economic Committee Economic,Subcommittee on Bankruptcy and the Courts,SENATE,113,2
323,323,S,Ad Hoc Committee on Energy Energy (Ad Hoc) House Energy (Ad Hoc),Subcommittee on Bankruptcy and the Courts,HOUSE,95,2
324,324,S,Committee on Agriculture,Subcommittee on General Farm Commodities and Risk Management,HOUSE,114,1
325,325,S,Committee on Appropriations Appropriations,"Subcommittee on Biotechnology, Horticulture, and Research",HOUSE,114,1
326,326,S,Committee on Armed Services,Subcommittee on Readiness Hearing,HOUSE,114,2
327,327,S,"Committee on Foreign Affairs Foreign Affairs  Subcommittee on Terrorism, Nonproliferation, and Trade",Subcommittee on Oversight and Investigations,HOUSE,114,2
328,328,S,Committee on Education and the Workforce Education and the Workforce,Subcommittee on Seapower and Projection Forces,HOUSE,114,1
329,329,S,Committee on Energy and Commerce,Subcommittee on Communications and Technology,HOUSE,114,1
330,330,S,Committee on Financial Services Financial Services,Subcommittee on Health,HOUSE,114,1
331,331,S,Committee on Homeland Security,"Subcommittee on Emergency Preparedness, Response, and Communications",HOUSE,114,2
332,332,S,Committee on Oversight and Government Reform Oversight and Government Reform  Subcommittee on Information Technology,Subcommittee on Transportation Security,HOUSE,114,2
333,333,S,Committee on House Administration Administration,"Subcommittee on Cybersecurity, Infrastructure Protection, and Security Technologies",HOUSE,114,1
334,334,S,Committee on Natural Resources,Subcommittee on Energy and Mineral Resources,HOUSE,114,1
335,335,S,Committee on Rules,Subcommittee on Rules and Organization,HOUSE,114,1
336,336,S,"Committee on Science, Space, and Technology Science, Space, and Technology",Subcommittee On,HOUSE,114,2
337,337,S,Committee on Small Business Small Business,Subcommittee On,HOUSE,114,1
338,338,S,Committee on the Budget The Budget,Subcommittee on Contracting and Workforce,HOUSE,114,2
339,339,S,Committee on the Judiciary,Subcommittee on the Constitution and Civil Justice,HOUSE,114,1
340,340,S,Committee on Transportation and Infrastructure,"Subcommittee on Railroads, Pipelines, and Hazardous Materials",HOUSE,114,2
341,341,S,Committee on Ways and Means,Subcommittee on Health,HOUSE,114,2
342,342,L,Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi Benghazi,Subcommittee on Health,HOUSE,114,2
343,343,S,Committee on Homeland Security and Governmental Affairs Homeland and Governmental Affairs,Subcommittee on Health,JOINT,114,1
344,344,S,"Committee on Agriculture, Nutrition, and Forestry Agriculture",Subcommittee on Health,SENATE,114,1
345,345,S,Committee on Appropriations Appropriations,Subcommittee on Health,SENATE,115,1
346,346,S,Committee on Appropriations Appropriations,Subcommittee on Health,SENATE,114,2
347,347,S,Committee on Indian Affairs Indian Affairs,Subcommittee on Health,SENATE,114,1
348,348,S,Committee on Armed Services Armed Services,Subcommittee on Health,SENATE,114,2
349,349,S,"Committee on Banking, Housing, and Urban Affairs Banking",Subcommittee on Readiness and Management Support,SENATE,114,1
350,350,S,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation Operations, Safety, and Security",SENATE,114,1
351,351,S,Committee on Energy and Natural Resources Energy and Natural Resources,"Subcommittee on Space, Science, and Competitiveness",SENATE,114,1
352,352,S,Committee on Environment and Public Works Environment and Public Works,Subcommittee on National Parks,SENATE,114,1
353,353,S,Committee on Finance Finance,"Subcommittee on Fisheries, Water, and Wildlife",SENATE,114,2
354,354,S,Committee on Foreign Relations Foreign Relations,Subcommittee on Health Care,SENATE,114,1
355,355,S,"Committee on Health, Education, Labor, and Pensions HELP","Subcommittee on Multilateral International Development, Mutilateral, Institutions, and International Economic, Energy, and Environmental Policy",SENATE,114,1
356,356,S,Committee on the Budget Budget,Subcommittee on Regulatory Affairs and Federal Management,SENATE,114,1
357,357,S,Committee on Rules and Administration Rules and Administration,Subcommittee on Regulatory Affairs and Federal Management,SENATE,114,1
358,358,S,Committee on Small Business and Entrepreneurship Small Business,Subcommittee on Regulatory Affairs and Federal Management,SENATE,114,2
359,359,L,Committee on Special Committe on Aging senate-aging,Subcommittee on Regulatory Affairs and Federal Management,SENATE,114,2
360,360,S,Committee on Veterans' Affairs Veterans' Affairs,Subcommittee on Regulatory Affairs and Federal Management,SENATE,114,1
361,361,S,Joint Economic Committee Economic,Subcommittee on Regulatory Affairs and Federal Management,SENATE,114,1
362,362,J,Joint Economic Committee Economic,Subcommittee on Regulatory Affairs and Federal Management,SENATE,114,2
363,363,L,Select Committee on Intelligence  senate-intelligence,Subcommittee on Regulatory Affairs and Federal Management,SENATE,114,1
364,364,S,Committee on Agriculture Agriculture,Subcommittee on Regulatory Affairs and Federal Management,HOUSE,115,1
365,365,S,Committee on Appropriations,"Subcommittee on the Departments of Transportation,",HOUSE,115,1
366,366,S,Committee on Armed Services,Subcommittee on Tactical Air and Land Forces,HOUSE,115,1
367,367,S,Committee on Armed Services armedservices,Subcommittee on Tactical Air and Land Forces,HOUSE,115,1
368,368,S,Committee on Armed Services  Armed Services,Subcommittee on Oversight and Investigations,HOUSE,115,1
369,369,S,Committee on Education and the Workforce Education and the Workforce,Subcommittee on Emerging Threats and Capabilities,HOUSE,115,1
370,370,S,Committee on Energy and Commerce,Subcommittee on Communications and Technology,HOUSE,115,1
371,371,S,Committee on Foreign Affairs Foreign Affairs,Subcommittee on Energy,HOUSE,115,1
372,372,S,Committee on Homeland Security,Subcommittee on Transportation and Protective Security,HOUSE,115,1
373,373,S,Committee on House Administration House Administration,Subcommittee on Cybersecurity and Infrastructure Protection,HOUSE,115,1
374,374,S,Committee on Natural Resources,Subcommittee on Federal Lands,HOUSE,115,1
375,375,S,Committee on Oversight and Government Reform,Subcommittee on National Security,HOUSE,115,1
376,376,S,"Committee on Science, Space, and Technology Science, Space, and Technology",Subcommittee on Government Operations,HOUSE,115,1
377,377,S,Committee on Small Business,"Subcommittee on Economic Growth, Tax, and Capital Access",HOUSE,115,1
378,378,S,Committee on the Budget The Budget,"Subcommittees on Contracting and Workforce and Investigations, Oversight, and Regulations",HOUSE,115,1
379,379,S,Committee on the Judiciary,Subcommittee on the Constitution and Civil Justice,HOUSE,115,1
380,380,S,Committee on Transportation and Infrastructure,Subcommittee on Coast Guard and Maritime Transportation,HOUSE,115,1
381,381,S,"Committee on Banking, Housing, and Urban Affairs Banking",Subcommittee on Coast Guard and Maritime Transportation,SENATE,115,1
382,382,S,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation Operations, Safety, and Security",SENATE,115,1
383,383,S,Committee on Energy and Natural Resources Energy and Natural Resources,"Subcommittee on Oceans, Atmosphere, Fisheries, and Coast Guard",SENATE,115,1
384,384,S,Committee on Environment and Public Works,"Subcommittee on Fisheries, Water, and Wildlife",SENATE,115,1
385,385,S,Committee on Foreign Relations Foreign Relations,Subcommittee on Transportation and Infrastructure,SENATE,115,1
386,386,S,Committee on Homeland Security and Governmental Affairs,Subcommittee on Regulatory Affairs and Federal Management,SENATE,115,1
387,387,S,Committee on Indian Affairs Indian Affairs,Subcommittee on Federal Spending Oversight and Emergency Management,SENATE,115,1
388,388,S,Committee on Intelligence Intelligence,Subcommittee on Federal Spending Oversight and Emergency Management,SENATE,115,1
389,389,S,Committee on Small Business and Entrepreneurship Small Business,Subcommittee on Federal Spending Oversight and Emergency Management,SENATE,115,1
390,390,S,Committee on the Budget Budget,Subcommittee on Federal Spending Oversight and Emergency Management,SENATE,115,1
391,391,S,Committee on Veterans' Affairs Veterans' Affairs,Subcommittee on Federal Spending Oversight and Emergency Management,SENATE,115,1
392,392,S,Joint Economic Committee Economic,Subcommittee on Federal Spending Oversight and Emergency Management,SENATE,115,1
