committee_id,subcommitee_id,type,committee_name,subcommittee_name,chamber,congress_session,committee_session
61,61,S,Committee on Transportation and Infrastructure,Subcommittee on Highways and Transportation,HOUSE,107,2
62,62,S,Committee on Veterans' Affairs,Subcommittee on Health,HOUSE,107,1
63,63,S,Select Committee on Homeland Security Homeland Security,Subcommittee on Trade,HOUSE,107,2
64,64,S,Select Committee on Intelligence,Subcommittee on Trade,HOUSE,107,2
65,65,S,"Committee on Agriculture, Nutrition, and Forestry Agriculture",Subcommittee on Trade,SENATE,107,1
66,66,S,Committee on Appropriations Appropriations,Subcommittee on Production and Price Competitiveness,SENATE,107,2
67,67,S,Committee on Indian Affairs Indian Affairs,Subcommittee on Production and Price Competitiveness,SENATE,107,2
68,68,S,Committee on Armed Services Armed Services,Subcommittee on Production and Price Competitiveness,SENATE,107,2
69,69,S,"Committee on Banking, Housing, and Urban Affairs Banking",Subcommittee on Readiness and Management Support,SENATE,107,1
70,70,S,"Committee on Commerce, Science, and Transportation Commerce  Subcommittee on Surface Transportation and Merchant Marine",Subcommittee on Housing and Transportation,SENATE,107,2
71,71,S,Committee on Energy and Natural Resources Energy and Natural Resources,"Subcommittee on Consumer Affairs, Foreign Commerce and Tourism",SENATE,107,1
72,72,S,Committee on Environment and Public Works Environment and Public Works,Subcommittee on Public Lands and Forests,SENATE,107,2
73,73,S,Committee on Finance Finance,"Subcommittee on Fisheries, Wildlife, and Water",SENATE,107,1
74,74,S,Committee on Foreign Relations,"Subcommittee on International Economic Policy, Export and Trade Promotion",SENATE,107,2
75,75,S,Committee on Governmental Affairs Governmental Affairs,Subcommittee on African Affairs,SENATE,107,2
76,76,S,"Committee on Health, Education, Labor, and Pensions HELP","Oversight of Government Management, Restructuring, and the District of Columbia Subcommittee",SENATE,107,2
77,77,S,Committee on Judiciary,Subcommittee on Immigration,SENATE,107,2
78,78,S,Committee on Rules and Administration Rules and Administration,"Subcommittee on Technology, Terrorism, and Government Information",SENATE,107,1
79,79,S,Committee on Small Business and Entrepreneurship Small Business,"Subcommittee on Technology, Terrorism, and Government Information",SENATE,107,1
80,80,S,Committee on the Budget Budget,"Subcommittee on Technology, Terrorism, and Government Information",SENATE,107,2
81,81,S,Committee on Veterans' Affairs Veterans' Affairs,"Subcommittee on Technology, Terrorism, and Government Information",SENATE,107,1
