hearing_id,related_item
19222,"_x000D_
_x000D_
United States House Bill 550  (114th Congress)_x000D_
_x000D_
H.R. 550_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19224,"_x000D_
_x000D_
United States Senate Bill 108  (114th Congress)_x000D_
_x000D_
S. 108_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19224,"_x000D_
_x000D_
United States Senate Bill 2014  (114th Congress)_x000D_
_x000D_
S. 2014_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19225,"_x000D_
_x000D_
United States Senate Joint Resolution 8  (114th Congress)_x000D_
_x000D_
S.J. Res. 8_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19225,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 29 Part 101102 and 103_x000D_
_x000D_
29 CFR Part  101102 and 103_x000D_
"
19226,"_x000D_
_x000D_
United States Senate Bill 2002  (114th Congress)_x000D_
_x000D_
S. 2002_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19227,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 34 Part 600.2_x000D_
_x000D_
34 CFR Part  600.2_x000D_
"
19228,"_x000D_
_x000D_
United States Senate Bill 590  (114th Congress)_x000D_
_x000D_
S. 590_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19228,"_x000D_
_x000D_
United States Code_x000D_
Title 20 Section 1232g_x000D_
_x000D_
20 U.S.C. 1232g_x000D_
"
19228,"_x000D_
_x000D_
United States Code_x000D_
Title 42 Section 13925(a)(20)_x000D_
Title 42 Section 16921_x000D_
_x000D_
42 U.S.C. 13925(a)(20)_x000D_
42 U.S.C. 16921_x000D_
"
19234,"_x000D_
_x000D_
United States House Bill 6  (114th Congress)_x000D_
_x000D_
H.R. 6_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19234,"_x000D_
_x000D_
United States Senate Bill 849  (114th Congress)_x000D_
_x000D_
S. 849_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19235,"_x000D_
_x000D_
United States S. Hrg. 681(114th Congress)_x000D_
_x000D_
_x000D_
S. Hrg. 114-681_x000D_
_x000D_
"
19235,"_x000D_
S. Hrg. 114-681_x000D_
"
19237,"_x000D_
_x000D_
United States Senate Bill 787  (114th Congress)_x000D_
_x000D_
S. 787_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19240,"_x000D_
_x000D_
United States Senate Bill 614  (114th Congress)_x000D_
_x000D_
S. 614_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19241,"_x000D_
_x000D_
United States S. Hrg. 516(114th Congress)_x000D_
_x000D_
_x000D_
S. Hrg. 114-516_x000D_
_x000D_
"
19241,"_x000D_
S. Hrg. 114-516_x000D_
"
19242,"_x000D_
_x000D_
United States Senate Bill 1915  (114th Congress)_x000D_
_x000D_
S. 1915_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
